ProfileID,ModelCondition,ModelID,Datatype,WESKit,Product,Stranded,Source,SharedToDbgap
PR-FJS1XC,MC-001143-FiMN,ACH-001143,wes,ICE,,,BROAD,True
PR-fK9BDe,MC-001416-TEmo,ACH-001416,wes,ICE,,,BROAD,True
PR-fkk2Te,MC-001395-yQwP,ACH-001395,wes,ICE,,,BROAD,True
PR-Fkv46u,MC-000118-AMV8,ACH-000118,wes,AGILENT,,,SANGER,
PR-FkZzmE,MC-000827-fiMz,ACH-000827,rna,,,False,BROAD,
PR-FKzzol,MC-000959-FEPL,ACH-000959,rna,,,False,BROAD,
PR-fl0sBB,MC-002458-LNX9,ACH-002458,wes,ICE,,,BROAD,
PR-FLLEIF,MC-000142-jGL9,ACH-000142,wes,AGILENT,,,SANGER,
PR-FLrCpF,MC-002283-sVKc,ACH-002283,wes,AGILENT,,,BROAD,True
PR-FlRMNN,MC-000495-g0D3,ACH-000495,wes,AGILENT,,,BROAD,
PR-FlwBPL,MC-001794-IAqD,ACH-001794,wes,ICE,,,BROAD,
PR-Fm2w0A,MC-001985-mJzv,ACH-001985,wgs,,,,BROAD,
PR-fMalmr,MC-000671-Nxcr,ACH-000671,wes,AGILENT,,,BROAD,
PR-FnbgWC,MC-001301-S2FT,ACH-001301,wgs,,NOVA_SEQ_6000,,BROAD,
PR-fNbnJr,MC-002539-pFSt,ACH-002539,rna,,,True,BROAD,
PR-FNigiY,MC-000468-c6hY,ACH-000468,wes,AGILENT,,,BROAD,
PR-FNo80s,MC-002716-JXsE,ACH-002716,wgs,,,,BROAD,
PR-FnvgpP,MC-000309-LZlq,ACH-000309,wes,AGILENT,,,SANGER,
PR-fo6yzd,MC-001456-4fjm,ACH-001456,rna,,,True,BROAD,True
PR-FOaDmL,MC-000146-cqxn,ACH-000146,rna,,,False,BROAD,
PR-FoI5mV,MC-000963-1AeG,ACH-000963,wgs,,,,BROAD,
PR-Fojb0w,MC-000149-PgwQ,ACH-000149,rna,,,False,BROAD,
PR-Fom7XN,MC-000817-xdTH,ACH-000817,wgs,,,,BROAD,
PR-FoPc2W,MC-001380-9Lr6,ACH-001380,wes,ICE,,,BROAD,True
PR-fopnJu,MC-001819-XxSH,ACH-001819,wes,AGILENT,,,SANGER,
PR-fOsxTk,MC-000158-KWQI,ACH-000158,wes,AGILENT,,,BROAD,
PR-fpa8mv,MC-000773-FFsq,ACH-000773,rna,,,False,BROAD,
PR-FPobvq,MC-002778-QeHD,ACH-002778,wgs,,,,BROAD,
PR-fPu3e3,MC-000109-cK3a,ACH-000109,rna,,,False,BROAD,
PR-fpv3Pw,MC-002069-bcEP,ACH-002069,wes,ICE,,,BROAD,True
PR-Fq5SE1,MC-001605-h6eY,ACH-001605,rna,,,True,BROAD,True
PR-fqjQgt,MC-000358-a88i,ACH-000358,rna,,,False,BROAD,
PR-FR76Nk,MC-001515-hQCS,ACH-001515,rna,,,True,BROAD,True
PR-fRCx9P,MC-001623-0Tfd,ACH-001623,wes,ICE,,,BROAD,True
PR-fRKA53,MC-000688-RWeh,ACH-000688,wgs,,,,BROAD,
PR-frTMdL,MC-000673-RSQe,ACH-000673,wes,ICE,,,BROAD,
